년,서울특별시,부산광역시,대구광역시,인천광역시 강화,인천광역시 백령도,인천,광주광역시,대전광역시,울산광역시,경기도 동두천,경기도 수원,경기도 양평,경기도 이천,강원특별자치도 강릉,강원특별자치도 대관령,강원특별자치도 동해,강원특별자치도 속초,강원특별자치도 영월,강원특별자치도 원주,강원특별자치도 인제,강원특별자치도 철원,강원특별자치도 춘천,강원특별자치도 태백,강원특별자치도 홍천,충청북도 보은,충청북도 제천,충청북도 청주,충청북도 추풍령,충청북도 충주,충청남도 금산,충청남도 보령,충청남도 부여,충청남도 서산,충청남도 천안,전북특별자치도 군산,전북특별자치도 남원,전북특별자치도 부안,전북특별자치도 임실,전북특별자치도 장수,전북특별자치도 전주,전북특별자치도 정읍,전라남도 고흥,전라남도 목포,전라남도 여수,전라남도 완도,전라남도 장흥,전라남도 해남,전라남도 흑산도,경상북도 구미,경상북도 문경,경상북도 봉화,경상북도 안동,경상북도 영덕,경상북도 영주,경상북도 영천,경상북도 울릉도,경상북도 울진,경상북도 의성,경상북도 포항,경상남도 거제,경상남도 거창,경상남도 남해,경상남도 밀양,경상남도 산청,경상남도 진주,경상남도 창원,경상남도 통영,경상남도 합천,제주특별자치도 고산,제주특별자치도 서귀포,제주특별자치도 성산,제주
2000,1186.8,1248.5,1087.3,1117.7,38.8,1159.4,1511,1707.5,1027.1,1345.2,1328.8,959.6,1264.9,1109.2,1559.4,1175.4,1345.2,1060.8,1228.6,1101.6,1125.2,1154.9,1209.4,1184.3,1449.2,1149.1,1357.6,1294.5,1269.6,1432.8,1515.4,1520.6,1424.8,1408.1,1697,1475.5,1231.6,1352.8,1444.7,1636.7,1256.9,1262.9,1176.7,1237.7,1508.8,1622.8,1336.2,1275,1103.2,1328.6,1198.9,1055.2,1017.3,1435.5,956,994.4,1072.9,1014.5,912.8,1679.4,1595.4,1854.5,981.5,1726.1,1546.9,1407.7,1458,1425.2,1013.6,1368.5,1370,1189.4
2001,1386,1171.3,878.3,1139.4,655.2,1144.5,1129.9,828.7,869.1,1278,1067.2,1034.1,884.9,1117.6,1551.7,1092.5,1164.2,792.3,775.7,860.5,1277.6,1108,849.9,1135.9,834.4,849.3,784.1,822.2,798.1,879.3,903.7,752.6,986.8,838.2,771.2,1467.5,885.4,1298.1,1361.5,1019.4,1136,838.5,945.9,1023.3,1277.7,968.1,888.8,1044.7,744.5,826.6,1196.9,818.1,1002.5,831.8,928.5,1046.3,923.5,622.8,1121,1449,1124.7,1584.4,1125,1322.8,1216.3,1071.9,1152.7,1139.1,1113.7,1782.1,1856.5,1388.6
2002,1388,2085.2,1291.3,1156.5,568.6,1033.7,1458.7,1378.7,1559.8,1261.1,1231.7,1333.1,1394.6,2066.2,2697.6,1632.8,1550.3,1406.5,1481.7,1243.2,1289.3,1177.7,1780.3,1365.5,1284.9,1500.4,1281.8,1459.7,1469.6,1390.7,1453.2,1274,1387.6,1312.5,1193.2,1624,1248.7,1580.3,1698.5,1130.1,1259,1802.3,1162.2,1610.3,1853.8,1909.3,1534,815.7,1327.1,1411.4,1714.1,1286.5,1380,1594.9,1178,1950.1,1440.5,1430.9,1185,2678.5,1768.6,2291.5,1531.5,2007.1,1817.1,1873.2,1875.1,1687.1,1225.8,1877.2,1781.5,1704.1
2003,2012,2328.3,1749.9,1643,865.4,1702.2,1994.1,1748.9,1864.2,1853.5,1514.8,1825.8,1715.2,2095.4,2685.4,1793.4,1899,1449.7,1745,1706.9,1717,1865.8,1753,1975.2,2079.2,1876.6,1581.8,1835.3,1641.2,1766.4,1343.7,1780,1433.4,1628.3,1509.2,2050.1,1850,1974.2,2208.1,1860.3,1870,2077,1686,2176.4,2220.9,1800.3,1739.5,1402.4,1749.8,1962.6,1736,1579.3,1841.2,2018.9,1724,2236.9,1789.7,1696.5,2098.1,2713.6,1950.8,2729.5,1685.3,1934.8,2151.2,2036.2,1945,1862.7,1503,2280.1,2550.5,1999.2
2004,1499.1,1386.5,1222.4,1370.2,847.9,1307.5,1742.3,1496.5,1250.1,1534.5,1217,1347.8,1177.4,1604.3,1815.5,1427.2,1587.3,1339.5,1425.3,1350.2,1249.6,1404,1368.2,1557,1365.4,1630.8,1505.9,1444.2,1425.2,1503.5,1216.2,1493.9,1340.9,1363.3,1431.7,1538.9,1390.7,1274.1,1398.3,1457.9,1282,1558,1483.3,1433.5,1866.7,1963.3,1593.7,1028.1,1286.9,1505.3,1354.8,1305,1272.9,1383.5,1116.9,1955.3,1278.9,1475,1403,1838.4,1547.8,1730.5,1377.4,1886.4,1575,1827,1388.3,1477.4,1269.9,2018,1962.5,1333.8
2005,1358.4,1383.9,834.3,1175.6,788.9,1155.8,1289.6,1656.1,1135.7,1378.2,1427.7,1732.6,1303.3,1653.4,1881.1,1432.8,1349.2,1252.1,1571,1168.3,1323.2,1334.2,1226.3,1797.8,1536.3,1525.2,1427.2,1008.4,1380.9,1375,1266.5,1527,1334.2,1309.3,1508.5,1126.2,1420,1418.4,1431.6,1390,1536.9,1337.1,1002.7,1220,1091.6,1422,1216.3,705.6,1011.2,1519.2,1130.3,881.7,1204,1303.3,772.8,1511.6,1204.1,848.5,1180.2,1446.6,1244.9,1617,971.5,1313.2,1113.7,1490.1,1268.7,1119.6,827.5,1390.6,1588,872.5
2006,1681.9,1528.3,1131.5,1257.2,577.1,1300.1,1520.2,1195.2,1393.9,1360.1,1362.7,1670.8,1464.8,1852.7,2112.9,1967.1,1609.2,1304.2,1560.5,1739.5,1298,1659.4,1796.8,2140.8,1196.2,1719.8,1081.1,1273.1,1233.9,1349.9,831.4,1076.5,1139.2,1043.3,1173.8,1381.5,1210.7,1260.7,1354.2,1187.5,1283.8,1602.2,1288.3,1561.7,1707.2,1678.6,1385.5,1044,1254.3,1352,1184.8,1098.1,1236.4,1510.8,1353,1914.5,1692.9,1392.6,1332.8,1876.7,1411.4,1889.9,1324.5,1684.6,1674,1692.5,1536.7,1306.6,1350.3,1757.6,2238,1527.4
2007,1212.3,1276.5,973.9,1170,1213.9,1120,1620.6,1750.9,1135.8,1286.3,1325,1402.7,1414.8,1441.6,1401.1,1514.5,1264.7,1714.9,1568.2,1215.6,1507.9,1374.9,1498.8,1308,1532.1,2067.3,1534.5,1311,1439.2,1586.1,1295.8,1651.3,1471.1,1562.4,1655.5,1815.2,2074.1,1438.1,1563.3,1471.7,1637.2,1803.9,1350.6,1512.4,1800.3,1978,1460.5,1347.8,1523.8,1448.8,1210.3,1122,1197.5,1475.9,1142.1,1558,1215,1324.3,1241.4,1576,1729,1780.5,1061,1775.9,1701,1497.2,1341.8,1232.6,1296,2166.5,2582.5,2139.8
2008,1356.3,1168.3,761.4,1333,892.7,1137.4,1007.2,1037.6,1112.3,1518.2,1342.9,1420.4,1170.7,1342.7,1128.6,978.5,1415,876.6,1011.1,1135.7,1504.9,1439.4,959.5,1140.4,961.9,885.8,892.3,818.5,882.5,902.2,813.5,902.1,909.6,870.1,901,816.3,881.5,915.3,863.4,1000,881.2,944.7,960.5,959.8,1180,981.6,1098.1,919.7,760.2,974.8,1027.9,737.9,729.3,1063.1,774.3,1418,916.6,786.2,885.4,1206.9,615.7,1081.4,807.5,785.5,885.6,1020.5,1150,767,972.3,1661.4,1770.7,1308.8
2009,1564,1772.9,832.5,1448.2,795.6,1382.1,1488.2,1090.4,1133.2,1527.8,1541.2,1576.5,1401.5,1183,1331.7,940.9,1420.1,1027,1359.3,1403.7,1599.1,1446.9,1140,1540.1,1112.2,1277.4,1019.8,1010.7,936.8,1128.6,1081.4,1089.6,1074.3,999.9,1022.7,1313.5,1136.1,1134.4,1308.9,1163.9,1400.7,1286.2,1088.4,1247.7,1588.4,1461.5,1277.7,1010.7,741.3,1187.2,1066.5,1058.5,808,1133.7,866.6,1616.1,851.7,768.6,885.5,1948.7,975.3,1676,1130.8,1169,1608.9,1865.9,1548.6,1066,1133,2006.8,1753.5,1304.8
